STATION,NAME,DATE,PRCP,TAVG
PP000092035,"PORT MORESBY W.O., PP",1970-01,5.51,81.2
PP000092035,"PORT MORESBY W.O., PP",1970-02,14.72,80.3
PP000092035,"PORT MORESBY W.O., PP",1970-03,14.17,80.9
PP000092035,"PORT MORESBY W.O., PP",1970-04,2.13,80.9
PP000092035,"PORT MORESBY W.O., PP",1970-05,1.97,80.3
PP000092035,"PORT MORESBY W.O., PP",1970-06,0.35,79.8
PP000092035,"PORT MORESBY W.O., PP",1970-07,1.38,78.4
PP000092035,"PORT MORESBY W.O., PP",1970-08,1.85,79.8
PP000092035,"PORT MORESBY W.O., PP",1970-09,3.78,80
PP000092035,"PORT MORESBY W.O., PP",1970-10,4.53,80.5
PP000092035,"PORT MORESBY W.O., PP",1970-11,4.33,81.1
PP000092035,"PORT MORESBY W.O., PP",1970-12,4.84,80.5
PP000092035,"PORT MORESBY W.O., PP",1971-01,6.02,80.2
PP000092035,"PORT MORESBY W.O., PP",1971-02,6.65,80.8
PP000092035,"PORT MORESBY W.O., PP",1971-03,9.8,80.4
PP000092035,"PORT MORESBY W.O., PP",1971-04,4.8,79.9
PP000092035,"PORT MORESBY W.O., PP",1971-05,2.76,79.5
PP000092035,"PORT MORESBY W.O., PP",1971-06,3.82,78.8
PP000092035,"PORT MORESBY W.O., PP",1971-07,1.1,78
PP000092035,"PORT MORESBY W.O., PP",1971-08,0.39,79.2
PP000092035,"PORT MORESBY W.O., PP",1971-09,1.02,80.7
PP000092035,"PORT MORESBY W.O., PP",1971-10,0.94,81.6
PP000092035,"PORT MORESBY W.O., PP",1971-11,2.48,82.2
PP000092035,"PORT MORESBY W.O., PP",1971-12,4.96,80.8
PP000092035,"PORT MORESBY W.O., PP",1972-01,7.2,80
PP000092035,"PORT MORESBY W.O., PP",1972-02,10.83,80
PP000092035,"PORT MORESBY W.O., PP",1972-03,12.44,79.6
PP000092035,"PORT MORESBY W.O., PP",1972-04,2.8,79.2
PP000092035,"PORT MORESBY W.O., PP",1972-05,5.71,77.4
PP000092035,"PORT MORESBY W.O., PP",1972-06,0.16,77.2
PP000092035,"PORT MORESBY W.O., PP",1972-07,0.28,77.2
PP000092035,"PORT MORESBY W.O., PP",1972-08,0,75.5
PP000092035,"PORT MORESBY W.O., PP",1972-09,0.12,77.2
PP000092035,"PORT MORESBY W.O., PP",1972-10,0.24,79.4
PP000092035,"PORT MORESBY W.O., PP",1972-11,0.63,82.5
PP000092035,"PORT MORESBY W.O., PP",1972-12,0.2,82.8
PP000092035,"PORT MORESBY W.O., PP",1973-01,9.8,83.1
PP000092035,"PORT MORESBY W.O., PP",1973-02,4.33,82.5
PP000092035,"PORT MORESBY W.O., PP",1973-03,9.21,81.2
PP000092035,"PORT MORESBY W.O., PP",1973-04,1.57,81.8
PP000092035,"PORT MORESBY W.O., PP",1973-05,6.38,80.3
PP000092035,"PORT MORESBY W.O., PP",1973-06,2.28,80.5
PP000092035,"PORT MORESBY W.O., PP",1973-07,0.83,78.1
PP000092035,"PORT MORESBY W.O., PP",1973-08,0.63,80.5
PP000092035,"PORT MORESBY W.O., PP",1973-09,0.24,82
PP000092035,"PORT MORESBY W.O., PP",1973-10,0.35,81.9
PP000092035,"PORT MORESBY W.O., PP",1973-11,11.14,82
PP000092035,"PORT MORESBY W.O., PP",1973-12,9.45,81
PP000092035,"PORT MORESBY W.O., PP",1974-01,12.6,80.6
PP000092035,"PORT MORESBY W.O., PP",1974-02,13.15,80.4
PP000092035,"PORT MORESBY W.O., PP",1974-03,1.85,80.2
PP000092035,"PORT MORESBY W.O., PP",1974-04,4.25,80.1
PP000092035,"PORT MORESBY W.O., PP",1974-05,2.91,79.8
PP000092035,"PORT MORESBY W.O., PP",1974-06,0.87,77.9
PP000092035,"PORT MORESBY W.O., PP",1974-07,0.94,78.7
PP000092035,"PORT MORESBY W.O., PP",1974-08,0.12,78.8
PP000092035,"PORT MORESBY W.O., PP",1974-09,2.2,81.2
PP000092035,"PORT MORESBY W.O., PP",1974-10,0.35,82.3
PP000092035,"PORT MORESBY W.O., PP",1974-11,0.24,83
PP000092035,"PORT MORESBY W.O., PP",1974-12,2.05,82.1
PP000092035,"PORT MORESBY W.O., PP",1975-01,6.1,80.7
PP000092035,"PORT MORESBY W.O., PP",1975-02,5.51,80.8
PP000092035,"PORT MORESBY W.O., PP",1975-03,11.1,80.7
PP000092035,"PORT MORESBY W.O., PP",1975-04,4.8,81.2
PP000092035,"PORT MORESBY W.O., PP",1975-05,5.51,80.1
PP000092035,"PORT MORESBY W.O., PP",1975-06,10.2,78.9
PP000092035,"PORT MORESBY W.O., PP",1975-07,0.04,79.1
PP000092035,"PORT MORESBY W.O., PP",1975-08,0.87,79.6
PP000092035,"PORT MORESBY W.O., PP",1975-09,2.48,81
PP000092035,"PORT MORESBY W.O., PP",1975-10,3.07,82.1
PP000092035,"PORT MORESBY W.O., PP",1975-11,5.28,80.9
PP000092035,"PORT MORESBY W.O., PP",1975-12,8.98,81.1
PP000092035,"PORT MORESBY W.O., PP",1976-01,14.84,79.9
PP000092035,"PORT MORESBY W.O., PP",1976-02,6.34,79.8
PP000092035,"PORT MORESBY W.O., PP",1976-03,5.43,79.9
PP000092035,"PORT MORESBY W.O., PP",1976-04,4.09,79.1
PP000092035,"PORT MORESBY W.O., PP",1976-05,6.18,79.3
PP000092035,"PORT MORESBY W.O., PP",1976-06,5.71,78.2
PP000092035,"PORT MORESBY W.O., PP",1976-07,0.31,77
PP000092035,"PORT MORESBY W.O., PP",1976-08,0.47,76.8
PP000092035,"PORT MORESBY W.O., PP",1976-09,0,78
PP000092035,"PORT MORESBY W.O., PP",1976-10,4.17,82.1
PP000092035,"PORT MORESBY W.O., PP",1976-11,4.96,82.4
PP000092035,"PORT MORESBY W.O., PP",1976-12,8.07,81.9
PP000092035,"PORT MORESBY W.O., PP",1977-01,8.9,81.5
PP000092035,"PORT MORESBY W.O., PP",1977-02,8.58,81.7
PP000092035,"PORT MORESBY W.O., PP",1977-03,4.84,81.1
PP000092035,"PORT MORESBY W.O., PP",1977-04,7.01,81.4
PP000092035,"PORT MORESBY W.O., PP",1977-05,5.16,80.1
PP000092035,"PORT MORESBY W.O., PP",1977-06,0.91,79
PP000092035,"PORT MORESBY W.O., PP",1977-07,4.17,78.2
PP000092035,"PORT MORESBY W.O., PP",1977-08,1.38,78
PP000092035,"PORT MORESBY W.O., PP",1977-09,2.64,79.4
PP000092035,"PORT MORESBY W.O., PP",1977-10,1.57,80.2
PP000092035,"PORT MORESBY W.O., PP",1977-11,0.12,81.4
PP000092035,"PORT MORESBY W.O., PP",1977-12,2.87,82.6
PP000092035,"PORT MORESBY W.O., PP",1978-01,7.32,82.1
PP000092035,"PORT MORESBY W.O., PP",1978-02,7.36,80.8
PP000092035,"PORT MORESBY W.O., PP",1978-03,4.25,81.5
PP000092035,"PORT MORESBY W.O., PP",1978-04,2.36,81.1
PP000092035,"PORT MORESBY W.O., PP",1978-05,1.89,82.3
PP000092035,"PORT MORESBY W.O., PP",1978-06,0.04,81
PP000092035,"PORT MORESBY W.O., PP",1978-07,2.68,79.5
PP000092035,"PORT MORESBY W.O., PP",1978-08,1.34,79.6
PP000092035,"PORT MORESBY W.O., PP",1978-09,0.83,80.7
PP000092035,"PORT MORESBY W.O., PP",1978-10,0,81.7
PP000092035,"PORT MORESBY W.O., PP",1978-11,8.5,81.2
PP000092035,"PORT MORESBY W.O., PP",1978-12,3.78,81.4
PP000092035,"PORT MORESBY W.O., PP",1979-01,9.21,82.2
PP000092035,"PORT MORESBY W.O., PP",1979-02,5.39,81.1
PP000092035,"PORT MORESBY W.O., PP",1979-03,12.68,80.9
PP000092035,"PORT MORESBY W.O., PP",1979-04,4.88,81
PP000092035,"PORT MORESBY W.O., PP",1979-05,2.44,80.1
PP000092035,"PORT MORESBY W.O., PP",1979-06,0.31,79.9
PP000092035,"PORT MORESBY W.O., PP",1979-07,2.91,77.5
PP000092035,"PORT MORESBY W.O., PP",1979-08,0,77.3
PP000092035,"PORT MORESBY W.O., PP",1979-09,0.04,80.5
PP000092035,"PORT MORESBY W.O., PP",1979-10,0.75,80.9
PP000092035,"PORT MORESBY W.O., PP",1979-11,0.31,81.8
PP000092035,"PORT MORESBY W.O., PP",1979-12,1.61,82.2
PP000092035,"PORT MORESBY W.O., PP",1980-01,10.12,82.2
PP000092035,"PORT MORESBY W.O., PP",1980-02,4.84,81.4
PP000092035,"PORT MORESBY W.O., PP",1980-03,8.07,80.1
PP000092035,"PORT MORESBY W.O., PP",1980-04,0.24,82.3
PP000092035,"PORT MORESBY W.O., PP",1980-05,0,82.1
PP000092035,"PORT MORESBY W.O., PP",1980-06,0.08,79.6
PP000092035,"PORT MORESBY W.O., PP",1980-07,0.16,79.6
PP000092035,"PORT MORESBY W.O., PP",1980-08,0.63,80
PP000092035,"PORT MORESBY W.O., PP",1980-09,0.2,79.4
PP000092035,"PORT MORESBY W.O., PP",1980-10,0,81.7
PP000092035,"PORT MORESBY W.O., PP",1980-11,0.31,83.1
PP000092035,"PORT MORESBY W.O., PP",1980-12,8.35,82.8
PP000092035,"PORT MORESBY W.O., PP",1981-01,11.97,81.6
PP000092035,"PORT MORESBY W.O., PP",1981-02,3.27,81.7
PP000092035,"PORT MORESBY W.O., PP",1981-03,6.1,80.9
PP000092035,"PORT MORESBY W.O., PP",1981-04,6.1,81.3
PP000092035,"PORT MORESBY W.O., PP",1981-05,2.2,82
PP000092035,"PORT MORESBY W.O., PP",1981-06,1.97,80.8
PP000092035,"PORT MORESBY W.O., PP",1981-07,0.55,81.6
PP000092035,"PORT MORESBY W.O., PP",1981-08,0.91,79.3
PP000092035,"PORT MORESBY W.O., PP",1981-09,0.31,82
PP000092035,"PORT MORESBY W.O., PP",1981-10,1.61,82.6
PP000092035,"PORT MORESBY W.O., PP",1981-11,2.05,84.2
PP000092035,"PORT MORESBY W.O., PP",1981-12,11.54,82
PP000092035,"PORT MORESBY W.O., PP",1982-01,10.63,82
PP000092035,"PORT MORESBY W.O., PP",1982-02,3.46,81.4
